楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
赤より紅い夢 -lucid dream Mix-,EXHAUST,13,ULTIMATE CHAIN,S,9975349,23,23,1,0
太陽はやめて！ぼくらのスカーレット警察,EXHAUST,13,ULTIMATE CHAIN,S,9988619,17,17,1,0
U.N. Owen was her? (Hyuji Remix),EXHAUST,13,ULTIMATE CHAIN,S,9949651,64,62,3,0
Lunartic Dial,ADVANCED,10,ULTIMATE CHAIN,AAA,9786585,16,16,2,0
Lunartic Dial,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9796145,73,54,0,0
Voice 2 Voice,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9874888,29,27,0,0
Smile,EXHAUST,12,ULTIMATE CHAIN,S,9956427,1,1,1,0
Daily Lunch Special ～DeliciousREMIX～,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9876589,19,19,0,0
デストロイマーチ,ADVANCED,11,COMPLETE,AAA+,9825511,1,1,0,0
デストロイマーチ,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9705882,56,34,0,0
Unicorn tail Dustboxxxx RMX,EXHAUST,16,EXCESSIVE COMPLETE,S,9924916,30,26,0,0
Venona,ADVANCED,10,COMPLETE,AAA+,9806201,5,5,0,0
Venona,EXHAUST,15,EXCESSIVE COMPLETE,S,9901247,45,32,0,0
Silver Impact,ADVANCED,8,COMPLETE,AAA+,9826254,1,1,0,0
Silver Impact,EXHAUST,13,ULTIMATE CHAIN,S,9947289,91,86,4,0
Cirno Break,ADVANCED,10,COMPLETE,AAA+,9814814,1,1,0,0
Cirno Break,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9896729,84,63,0,0
#Fairy_dancing_in_lake,ADVANCED,11,COMPLETE,AAA+,9829842,1,1,0,0
#Fairy_dancing_in_lake,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9839151,40,35,0,0
モモンが門番ばんっ☆,ADVANCED,9,COMPLETE,AAA+,9816919,1,1,0,0
モモンが門番ばんっ☆,EXHAUST,15,EXCESSIVE COMPLETE,S,9917330,20,16,0,0
U.N.オーエンは彼女なのか？(TO-HOlic mix),ADVANCED,11,COMPLETE,AAA+,9874396,3,3,0,0
U.N.オーエンは彼女なのか？(TO-HOlic mix),EXHAUST,16,EXCESSIVE COMPLETE,S,9921638,43,35,0,0
音楽 -resolve-,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9669724,46,26,0,0
少年は空を辿る Prog Piano Remix,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9803304,30,28,0,0
少年は空を辿る Prog Piano Remix,GRAVITY,17,EXCESSIVE COMPLETE,AA+,9559805,38,24,0,0
獣性オーバーフロウ,EXHAUST,15,ULTIMATE CHAIN,AAA+,9897660,28,22,1,0
HAPPY HEART BEAT,EXHAUST,14,ULTIMATE CHAIN,S,9979959,4,4,1,0
華陽炎-Hana Kagerou-,ADVANCED,10,COMPLETE,AAA,9717832,1,1,0,0
華陽炎-Hana Kagerou-,EXHAUST,14,EXCESSIVE COMPLETE,S,9940664,6,4,0,0
BabeL ～Next Story～,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9760198,24,21,0,0
いーあるふぁんくらぶ,EXHAUST,13,ULTIMATE CHAIN,S,9927685,3,3,2,0
